ts_utc,ticker,city,band,yes_bid,yes_ask,no_bid,no_ask,volume,kmia_obs,nyc_obs
2026-08-30T00:46Z,KXHIGHCHI-26AUG30-T93,CHI,T93,0.00,0.01,0.99,1.00,1049,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG29-B90.5,DEN,B90.5,0.00,0.01,0.99,1.00,9016,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG29-B92.5,DEN,B92.5,0.99,1.00,0.00,0.01,8349,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG29-B94.5,DEN,B94.5,0.00,0.01,0.99,1.00,5444,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG29-B96.5,DEN,B96.5,0.00,0.01,0.99,1.00,937,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG29-T90,DEN,T90,0.00,0.01,0.99,1.00,4044,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG29-T97,DEN,T97,0.00,0.01,0.99,1.00,427,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG30-B85.5,DEN,B85.5,0.16,0.21,0.79,0.84,66,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG30-B87.5,DEN,B87.5,0.41,0.44,0.56,0.59,319,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG30-B89.5,DEN,B89.5,0.21,0.23,0.77,0.79,191,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG30-B91.5,DEN,B91.5,0.06,0.08,0.92,0.94,143,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG30-T85,DEN,T85,0.07,0.08,0.92,0.93,54,79,73
2026-08-30T00:46Z,KXHIGHDEN-26AUG30-T92,DEN,T92,0.00,0.02,0.98,1.00,905,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG29-B88.5,MIA,B88.5,0.00,0.01,0.99,1.00,22605,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG29-B90.5,MIA,B90.5,0.00,0.02,0.98,1.00,23294,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG29-B92.5,MIA,B92.5,0.00,0.01,0.99,1.00,15205,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG29-B94.5,MIA,B94.5,0.00,0.01,0.99,1.00,6326,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG29-T88,MIA,T88,0.98,1.00,0.00,0.02,34286,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG29-T95,MIA,T95,0.00,0.01,0.99,1.00,1696,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG30-B87.5,MIA,B87.5,0.08,0.10,0.90,0.92,372,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG30-B89.5,MIA,B89.5,0.30,0.33,0.67,0.70,789,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG30-B91.5,MIA,B91.5,0.44,0.45,0.55,0.56,608,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG30-B93.5,MIA,B93.5,0.13,0.14,0.86,0.87,923,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG30-T87,MIA,T87,0.05,0.09,0.91,0.95,2445,79,73
2026-08-30T00:46Z,KXHIGHMIA-26AUG30-T94,MIA,T94,0.01,0.02,0.98,0.99,463,79,73
2026-08-30T00:46Z,KXHIGHNY-26AUG29-B79.5,NY,B79.5,0.00,0.01,0.99,1.00,26522,79,73
